ID_1,NAME_1,provincia.nombre,CODIGO.PROVINCIA
1,Buenos Aires,BUENOS AIRES,2
2,Cí_rdoba,CORDOBA,4
3,Catamarca,CATAMARCA,3
4,Chaco,CHACO,6
5,Chubut,CHUBUT,7
6,Ciudad de Buenos Aires,CIUDAD AUTONOMA DE BS.AS.,1
7,Corrientes,CORRIENTES,5
8,Entre Rí_os,ENTRE RIOS,8
9,Formosa,FORMOSA,9
10,Jujuy,JUJUY,10
11,La Pampa,LA PAMPA,11
12,La Rioja,LA RIOJA,12
13,Mendoza,MENDOZA,13
14,Misiones,MISIONES,14
15,Neuquí©n,NEUQUEN,15
16,Rí_o Negro,RIO NEGRO,16
17,Salta,SALTA,17
18,San Juan,SAN JUAN,18
19,San Luis,SAN LUIS,19
20,Santa Cruz,SANTA CRUZ,20
21,Santa Fe,SANTA FE,21
22,Santiago del Estero,SANTIAGO DEL ESTERO,22
23,Tierra del Fuego,TIERRA DEL FUEGO,24
24,Tucumíçn,TUCUMAN,23
