codigo_provincia_electoral,provincia_electoral,codigo_departamento_electoral,departamento_electoral,codigo_provincia_censo,provincia_censo,codigo_departamento_censo,departamento_censo,per_propietario,nbi,masculinidad,extranjeros,analfabetismo,no_usa_pc,menor_15,mayor_65,desocupados,universitarios,per_urban,census_code
1,Capital Federal,1,Comuna 1,2,Ciudad de Buenos Aires,1,Comuna 1,0.488409812,0.102558424,0.910083589,0.247457331,0.034040902,0.298616672,0.15411927,0.141456923,0.034065469,0.309633004,1,2001
1,Capital Federal,2,Comuna 2,2,Ciudad de Buenos Aires,2,Comuna 2,0.581989174,0.013861368,0.75694738,0.098276473,0.023021274,0.175967485,0.110186663,0.197964947,0.027121251,0.518842434,1,2002
1,Capital Federal,3,Comuna 3,2,Ciudad de Buenos Aires,3,Comuna 3,0.507100349,0.09445147,0.839752394,0.162453276,0.032441969,0.269808704,0.149847763,0.160117737,0.031853375,0.27511474,1,2003
1,Capital Federal,4,Comuna 4,2,Ciudad de Buenos Aires,4,Comuna 4,0.599725329,0.116622081,0.89647981,0.177699375,0.047510618,0.35364571,0.20961305,0.128846022,0.038934851,0.145562528,1,2004
1,Capital Federal,5,Comuna 5,2,Ciudad de Buenos Aires,5,Comuna 5,0.584519689,0.050147143,0.82288007,0.106013798,0.031661372,0.233646675,0.145023882,0.172062233,0.029618222,0.31559649,1,2005
1,Capital Federal,6,Comuna 6,2,Ciudad de Buenos Aires,6,Comuna 6,0.660109856,0.017731332,0.811369669,0.074751812,0.031294002,0.200393362,0.142756537,0.183261773,0.025707096,0.374586281,1,2006
1,Capital Federal,7,Comuna 7,2,Ciudad de Buenos Aires,7,Comuna 7,0.64020716,0.078596867,0.867674202,0.185714739,0.043870748,0.301617169,0.186775526,0.156869501,0.032760106,0.228934916,1,2007
1,Capital Federal,8,Comuna 8,2,Ciudad de Buenos Aires,8,Comuna 8,0.696979589,0.118800087,0.916605249,0.233618355,0.060912472,0.434080743,0.252263174,0.103724157,0.04471061,0.076398434,1,2008
1,Capital Federal,9,Comuna 9,2,Ciudad de Buenos Aires,9,Comuna 9,0.684326047,0.037020665,0.890372707,0.135478408,0.042204957,0.327421786,0.187092468,0.164996879,0.035541771,0.161668186,1,2009
1,Capital Federal,10,Comuna 10,2,Ciudad de Buenos Aires,10,Comuna 10,0.691959709,0.030022772,0.864368332,0.102257532,0.038465372,0.269444427,0.16642975,0.175235812,0.031853918,0.225884604,1,2010
